UserID,PreferredPetType,LivingSpace,Allergies,ActivityLevel,PastPetExperience,MaxAdoptionFee
166,Cat,Apartment,0,Moderate,Some,164.82
167,Cat,House,0,Moderate,Experienced,162.26
168,Bird,Apartment,0,Moderate,Experienced,123.98
169,Rabbit,Apartment,0,Moderate,Experienced,152.78
170,Dog,Small Space,0,Low,None,107.56
171,Dog,Apartment,0,Moderate,Experienced,232.16
172,Cat,Small Space,1,Low,Some,90.8
173,Cat,Small Space,1,High,Experienced,245.28
174,Rabbit,Apartment,0,High,None,247.11
175,Rabbit,Apartment,0,Low,Some,75.41
176,Cat,Apartment,0,Moderate,None,316.24
177,Bird,House,0,Moderate,None,238.52
178,Cat,House,0,Moderate,None,256.23
179,Dog,House,1,Low,Experienced,143.1
180,Rabbit,House,1,Moderate,None,246.68
181,Dog,Apartment,0,Low,Some,284.48
182,Rabbit,Small Space,0,Low,None,192.6
183,Bird,House,0,Low,Some,350.14
184,Cat,House,0,Low,None,203.3
185,Cat,Small Space,0,High,None,285.56
186,Cat,House,0,High,Some,221.98
187,Dog,Apartment,0,Moderate,Some,243.91
188,Dog,House,0,Moderate,None,74.65
189,Cat,House,1,Low,None,227.83
190,Rabbit,Apartment,0,Moderate,None,144.88
191,Cat,Small Space,0,Low,Experienced,136.52
192,Dog,Apartment,0,Moderate,Some,330.81
193,Cat,House,1,High,Some,183.97
194,Rabbit,House,0,Low,None,124.75
195,Cat,Apartment,0,High,Some,173.07
196,Cat,Small Space,1,Low,None,102.47
197,Rabbit,Small Space,0,Moderate,None,307.54
198,Cat,House,0,Low,Some,147.82
199,Cat,Apartment,0,Moderate,Some,239.7
200,Rabbit,Apartment,1,Low,None,301.71
201,Dog,Apartment,0,Moderate,Some,162.49
202,Bird,Apartment,1,Moderate,Experienced,239.9
203,Dog,House,0,Moderate,Some,122.74
204,Dog,Small Space,0,Moderate,Some,383.43
205,Rabbit,House,0,High,Experienced,270.23
206,Dog,Small Space,0,Moderate,Experienced,185.55
207,Rabbit,House,0,Low,Some,142.04
208,Rabbit,House,0,Low,Experienced,191.45
209,Rabbit,Small Space,0,High,None,174.5
210,Bird,House,0,Moderate,Some,346.47
211,Dog,Small Space,1,Moderate,None,108.08
212,Rabbit,Apartment,0,Low,None,210.11
213,Dog,Apartment,1,Moderate,Some,198.62
214,Cat,Small Space,0,Low,None,191.19
215,Rabbit,House,1,High,Some,191.85
216,Dog,Small Space,1,High,Some,191.29
217,Cat,Small Space,0,Low,Some,265.48
218,Cat,Apartment,1,Moderate,None,245.67
219,Cat,House,0,Low,None,231.42
220,Bird,Apartment,1,Moderate,Some,50.0
221,Dog,House,1,High,Experienced,222.48
222,Cat,House,0,Moderate,None,75.83
223,Rabbit,Apartment,0,Moderate,None,248.47
224,Cat,House,0,Low,Experienced,310.59
225,Dog,House,0,High,None,130.53
226,Cat,Apartment,0,Moderate,Experienced,180.37
227,Dog,Small Space,0,Moderate,Some,155.05
228,Dog,House,0,Low,Some,292.66
229,Rabbit,Small Space,1,Moderate,Some,207.13
230,Cat,Apartment,0,High,None,329.62
231,Bird,Apartment,1,Moderate,Some,231.03
232,Rabbit,House,1,Moderate,Experienced,218.18
233,Cat,Apartment,0,Moderate,Experienced,205.12
234,Dog,Small Space,0,High,Some,261.35
235,Cat,Apartment,0,Moderate,Experienced,69.67
236,Dog,House,0,Low,None,206.4
237,Bird,House,0,Moderate,Some,194.75
238,Dog,Apartment,0,Moderate,Some,254.41
239,Dog,Apartment,1,High,Experienced,185.92
240,Cat,House,0,High,Some,122.09
241,Dog,House,0,Moderate,Some,200.55
242,Dog,Apartment,0,Low,Experienced,118.79
243,Cat,Small Space,1,High,Some,55.61
244,Dog,Apartment,1,Moderate,None,254.53
245,Dog,House,1,Moderate,Some,243.43
246,Dog,House,0,Moderate,Some,235.03
247,Rabbit,Apartment,0,Moderate,Some,297.72
248,Cat,Small Space,1,Low,Experienced,150.12
249,Cat,Apartment,0,High,Some,92.67
250,Cat,Apartment,0,High,Some,194.75
251,Dog,Apartment,0,Moderate,Some,173.94
252,Bird,House,0,Moderate,None,136.83
253,Dog,House,0,Low,None,194.01
254,Cat,House,0,Low,Experienced,154.13
255,Rabbit,Apartment,0,Moderate,Some,62.3
256,Rabbit,Apartment,0,Moderate,None,166.91
257,Dog,Small Space,0,High,None,114.77
258,Dog,Apartment,0,High,Some,217.37
259,Rabbit,Small Space,0,Moderate,Experienced,150.8
260,Dog,Apartment,0,Moderate,Experienced,283.37
261,Rabbit,Small Space,0,Low,None,320.29
262,Rabbit,Apartment,0,High,Experienced,250.95
263,Rabbit,House,0,Moderate,Some,83.67
264,Dog,Apartment,0,Low,Some,312.89
265,Rabbit,Apartment,0,Moderate,Some,318.18
266,Cat,Apartment,1,High,None,201.41
267,Rabbit,Apartment,0,High,Experienced,299.22
268,Dog,Apartment,0,Low,None,158.62
269,Dog,House,0,High,None,60.03
270,Dog,House,1,Low,Experienced,142.98
271,Dog,House,0,Low,Some,329.7
272,Cat,House,0,High,Experienced,88.17
273,Bird,House,0,High,Some,199.96
274,Dog,House,0,Moderate,Some,202.56
275,Rabbit,House,0,Moderate,Experienced,161.53
276,Dog,House,0,High,None,166.74
277,Dog,Small Space,0,High,Experienced,205.42
278,Dog,Apartment,0,High,None,157.84
279,Dog,Apartment,1,Moderate,Experienced,93.35
280,Bird,House,0,High,None,216.13
281,Dog,Apartment,0,High,Some,280.5
282,Cat,Small Space,1,Low,Experienced,265.22
283,Cat,Small Space,1,High,Some,139.27
284,Bird,Apartment,1,Moderate,Experienced,106.16
285,Dog,Apartment,1,Moderate,Experienced,178.69
286,Dog,House,1,Moderate,Experienced,317.58
287,Dog,House,0,Low,Experienced,248.42
288,Cat,Apartment,1,Moderate,Some,252.8
289,Dog,House,1,High,None,266.74
290,Rabbit,House,0,Low,None,231.56
291,Cat,Apartment,0,Moderate,None,209.05
292,Cat,Apartment,1,High,None,249.67
293,Cat,House,0,Moderate,Some,159.04
294,Dog,Apartment,1,Moderate,None,93.92
295,Cat,Small Space,0,Moderate,None,254.22
296,Bird,House,0,Moderate,None,292.83
297,Rabbit,House,0,Moderate,Experienced,116.13
298,Rabbit,Small Space,0,High,Some,261.64
299,Rabbit,Small Space,0,Moderate,Some,326.06
300,Dog,Apartment,0,High,Experienced,199.83
301,Dog,Apartment,0,Moderate,None,138.65
302,Dog,House,0,Moderate,Experienced,209.23
303,Dog,House,0,Moderate,Some,158.71
304,Dog,Apartment,0,High,None,153.75
305,Cat,Small Space,0,Moderate,Some,232.49
306,Cat,Apartment,0,Low,Experienced,79.72
307,Rabbit,Apartment,0,Low,Some,91.71
308,Rabbit,Apartment,0,Low,Experienced,201.45
309,Bird,House,0,Low,None,198.33
310,Dog,House,0,Moderate,None,225.77
311,Dog,Apartment,0,Low,None,340.64
312,Cat,Apartment,1,High,None,207.84
313,Dog,Apartment,1,Low,None,244.86
314,Dog,House,1,Moderate,Experienced,126.84
315,Dog,Apartment,0,Moderate,None,257.6
316,Dog,Small Space,0,Low,Some,160.52
317,Cat,Apartment,0,High,Some,205.36
318,Cat,Small Space,0,Low,Experienced,191.84
319,Cat,Apartment,1,Moderate,Experienced,277.47
320,Cat,House,0,High,Experienced,101.75
321,Dog,Apartment,0,Moderate,Experienced,50.0
322,Dog,Apartment,0,Low,Experienced,183.99
323,Dog,Small Space,1,Moderate,Experienced,235.14
324,Dog,Small Space,1,High,Experienced,211.42
325,Rabbit,House,0,High,None,292.42
326,Rabbit,House,1,High,Some,232.8
327,Cat,House,0,Moderate,Some,157.71
328,Dog,Small Space,1,High,Some,50.0
329,Cat,Apartment,1,Low,None,182.2
330,Cat,House,1,Low,Some,277.1
331,Cat,House,0,High,Experienced,170.6
332,Cat,Apartment,0,Low,None,202.12
333,Cat,Small Space,0,Low,Experienced,231.6
334,Cat,Apartment,0,Low,Experienced,123.85
335,Rabbit,Apartment,1,Moderate,Experienced,246.74
336,Dog,House,0,High,Experienced,322.78
337,Rabbit,House,0,Moderate,Experienced,187.04
338,Dog,Apartment,0,Low,Some,115.32
339,Dog,Apartment,0,Moderate,None,195.0
340,Bird,Small Space,0,High,Some,50.0
341,Bird,Apartment,0,High,Experienced,225.27
342,Dog,House,0,Moderate,Experienced,233.92
343,Cat,House,0,High,Experienced,325.67
344,Dog,House,1,High,None,185.45
345,Cat,Small Space,0,Low,Some,230.64
346,Rabbit,House,1,Low,Some,135.4
347,Bird,House,0,Low,None,173.27
348,Cat,House,0,High,None,85.61
349,Dog,House,0,Low,None,185.39
350,Cat,House,0,Moderate,Experienced,177.1
351,Dog,Small Space,0,Low,None,222.44
352,Bird,Apartment,0,High,None,153.23
353,Rabbit,Apartment,0,Moderate,Experienced,206.25
354,Cat,Apartment,0,High,Some,175.0
355,Dog,Apartment,0,High,None,175.14
356,Dog,Apartment,0,Low,None,206.03
357,Dog,Small Space,0,Moderate,None,203.04
358,Rabbit,House,1,Low,None,257.09
359,Cat,House,0,High,None,190.95
360,Dog,House,0,Moderate,Some,173.76
361,Cat,Small Space,1,Low,None,186.44
362,Rabbit,House,0,Low,Some,146.4
363,Dog,Small Space,1,Moderate,Experienced,173.01
364,Rabbit,Apartment,0,High,Some,352.34
365,Rabbit,Small Space,1,Moderate,Experienced,131.55
366,Bird,House,0,High,Some,179.1
367,Dog,Apartment,1,Moderate,Some,170.94
368,Dog,House,0,Low,Experienced,181.46
369,Dog,House,0,High,None,175.16
370,Dog,Apartment,0,Low,None,220.94
371,Dog,House,0,High,Some,71.74
372,Cat,Apartment,0,Moderate,Some,277.79
373,Cat,Apartment,0,Low,Experienced,247.44
374,Rabbit,Small Space,1,Moderate,Experienced,106.78
375,Dog,House,0,High,Some,50.0
376,Cat,Small Space,1,High,Some,126.72
377,Rabbit,House,0,Low,Some,181.8
378,Rabbit,Apartment,1,Low,Experienced,393.52
379,Rabbit,House,1,Moderate,Experienced,240.74
380,Rabbit,House,0,Moderate,Experienced,64.43
381,Bird,Small Space,1,High,None,148.28
382,Dog,Apartment,1,Low,Experienced,196.01
383,Cat,Small Space,0,High,None,219.03
384,Dog,Small Space,0,Moderate,None,101.39
385,Dog,House,0,High,Experienced,189.88
386,Dog,Small Space,1,Moderate,None,146.18
387,Dog,Apartment,0,Moderate,Experienced,117.22
388,Dog,Small Space,0,High,None,219.47
389,Dog,House,0,Moderate,Experienced,258.04
390,Dog,Apartment,0,High,None,263.08
391,Bird,Small Space,1,High,Some,243.08
392,Dog,House,1,Moderate,None,162.7
393,Rabbit,House,0,Moderate,Some,253.59
394,Dog,House,0,Low,Some,223.18
395,Bird,Apartment,0,Low,Some,210.05
396,Rabbit,House,0,Low,None,154.12
397,Cat,Small Space,0,Low,None,162.73
398,Cat,Apartment,0,Low,None,205.54
399,Dog,Apartment,0,Moderate,Some,382.99
400,Bird,Apartment,0,Moderate,Experienced,222.59
401,Rabbit,House,0,Moderate,Experienced,154.16
402,Rabbit,House,0,Low,None,137.57
403,Cat,House,1,Low,Some,163.12
404,Dog,Small Space,0,Moderate,Experienced,363.3
405,Rabbit,House,0,Moderate,None,170.06
406,Dog,Apartment,1,Moderate,Some,268.02
407,Cat,Small Space,0,Moderate,Some,171.81
408,Dog,House,0,High,None,219.59
409,Bird,House,0,Moderate,None,259.38
410,Dog,House,0,Moderate,None,157.11
411,Dog,Small Space,1,High,Some,151.92
412,Cat,House,0,High,None,324.42
413,Rabbit,Apartment,0,Moderate,None,273.84
414,Cat,House,0,Moderate,Some,259.3
415,Dog,Apartment,0,Low,None,259.05
416,Dog,Apartment,1,Moderate,None,234.47
417,Rabbit,House,1,High,Experienced,351.33
418,Bird,Apartment,0,Moderate,None,203.29
419,Rabbit,Apartment,0,High,Some,243.29
420,Cat,Apartment,0,Moderate,Some,91.18
421,Bird,House,0,High,Some,138.13
422,Cat,Small Space,0,Moderate,Some,109.94
423,Cat,Small Space,0,Low,None,295.55
424,Cat,Apartment,0,Moderate,Experienced,50.0
425,Cat,House,1,Low,Some,169.83
426,Rabbit,Small Space,0,Low,Experienced,50.0
427,Cat,Apartment,0,High,Some,137.65
428,Dog,House,0,Low,Experienced,163.18
429,Dog,House,1,High,Experienced,303.87
430,Dog,Apartment,0,Low,Experienced,229.75
431,Cat,Small Space,0,Low,Some,137.51
432,Dog,Small Space,0,High,Some,279.95
433,Dog,Apartment,1,Moderate,Experienced,201.34
434,Cat,Apartment,0,Moderate,Experienced,202.82
435,Cat,Apartment,0,Moderate,Experienced,109.8
436,Rabbit,Apartment,1,Moderate,Some,125.75
437,Cat,House,1,High,Experienced,138.12
438,Rabbit,House,0,Moderate,None,203.48
439,Bird,Apartment,0,Moderate,Some,205.84
440,Rabbit,Small Space,0,High,None,315.81
441,Cat,Apartment,0,Low,Some,228.88
442,Dog,Apartment,1,Moderate,Experienced,50.0
443,Bird,Apartment,0,High,None,219.7
444,Dog,House,1,Moderate,Some,91.25
445,Dog,House,0,High,Some,127.55
446,Cat,Apartment,0,Moderate,None,139.09
447,Dog,Apartment,0,High,Some,150.25
448,Bird,Small Space,0,High,Some,96.86
449,Cat,Small Space,0,Low,None,215.26
450,Cat,Apartment,0,Low,Experienced,94.19
451,Cat,Apartment,0,Moderate,Experienced,226.75
452,Cat,House,0,High,None,367.77
453,Dog,House,0,Low,None,100.3
454,Cat,Apartment,0,Low,Some,178.66
455,Rabbit,Small Space,0,Moderate,Experienced,50.0
456,Cat,House,0,High,None,177.43
457,Rabbit,House,0,Moderate,None,248.2
458,Dog,House,0,Moderate,Some,254.05
459,Dog,Small Space,0,Low,Experienced,205.8
460,Dog,House,0,Moderate,Some,266.69
461,Dog,Apartment,0,Low,Some,390.95
462,Rabbit,Apartment,1,Low,Experienced,328.42
463,Rabbit,House,0,High,Some,160.81
464,Dog,Apartment,0,High,Experienced,91.17
465,Cat,House,0,Low,Some,169.54
466,Rabbit,Small Space,1,Low,Experienced,128.98
467,Dog,House,0,Moderate,Some,233.85
468,Dog,Small Space,0,Moderate,Experienced,111.41
469,Bird,Apartment,0,Low,Some,194.54
470,Cat,Small Space,0,Moderate,Experienced,262.85
471,Bird,House,1,Low,None,192.45
472,Dog,Apartment,0,High,Some,129.03
473,Rabbit,House,0,High,Experienced,288.11
474,Dog,Apartment,1,Moderate,None,59.08
475,Dog,House,0,Moderate,Some,175.42
476,Cat,House,0,High,None,196.88
477,Dog,Apartment,0,High,Experienced,201.19
478,Dog,House,0,Low,None,213.54
479,Dog,House,0,Low,Experienced,245.78
480,Dog,Apartment,0,Moderate,Some,197.34
481,Rabbit,Apartment,0,Low,None,172.4
482,Cat,House,1,Moderate,Some,169.43
483,Dog,House,1,Moderate,None,154.14
484,Dog,Small Space,0,Moderate,Some,259.07
485,Dog,Small Space,0,Moderate,Some,151.51
486,Cat,House,1,Moderate,None,263.51
487,Dog,House,0,High,Experienced,201.42
488,Rabbit,House,0,Low,None,160.91
489,Dog,House,0,Moderate,Some,246.38
490,Dog,Apartment,0,Low,Some,145.44
491,Rabbit,Apartment,0,Low,Some,247.86
492,Rabbit,House,1,Moderate,Some,215.95
493,Dog,Apartment,0,Low,Some,155.28
494,Rabbit,House,1,Low,Experienced,239.65
495,Cat,Small Space,0,Low,Some,240.99
496,Rabbit,Apartment,1,Moderate,None,286.81
497,Cat,House,0,High,Some,272.46
498,Cat,Small Space,0,Low,None,236.85
499,Bird,House,0,Moderate,None,115.43
500,Dog,Apartment,0,Low,Some,383.64
501,Cat,Apartment,0,Moderate,Some,94.73
502,Cat,House,0,Moderate,Some,271.19
503,Dog,House,0,Moderate,Experienced,232.35
504,Dog,Apartment,0,High,Some,111.94
505,Dog,Apartment,0,High,Some,190.68
506,Cat,Small Space,0,Low,None,194.09
507,Cat,House,0,High,Some,297.92
508,Cat,Small Space,1,Low,Some,146.5
509,Dog,House,0,High,Some,180.35
510,Cat,Small Space,1,Low,Experienced,50.0
511,Bird,Apartment,0,Moderate,Some,330.11
512,Dog,House,0,Low,Some,119.71
513,Cat,Apartment,0,Low,Some,224.52
514,Rabbit,House,0,High,Some,192.39
515,Rabbit,House,0,High,Some,192.65
516,Cat,Apartment,0,Moderate,None,260.74
517,Rabbit,Small Space,0,High,None,325.34
518,Dog,Small Space,0,High,None,218.86
519,Rabbit,Apartment,0,Low,Some,249.13
520,Dog,House,0,Low,Experienced,224.67
521,Dog,Apartment,0,Low,Some,276.31
522,Dog,House,0,Moderate,None,165.28
523,Rabbit,Small Space,0,Low,Experienced,280.65
524,Cat,Apartment,0,Low,Experienced,283.29
525,Dog,Small Space,0,Low,Experienced,281.19
526,Dog,Apartment,0,Low,Some,150.49
527,Bird,House,0,High,Experienced,187.37
528,Rabbit,House,0,Low,None,217.96
529,Cat,Apartment,0,Moderate,None,97.19
530,Cat,Apartment,0,Moderate,None,319.62
531,Cat,Small Space,0,Moderate,Experienced,199.08
532,Dog,House,0,Low,None,221.29
533,Bird,Apartment,0,Moderate,Some,156.72
534,Dog,House,0,Low,Some,100.48
535,Cat,Apartment,1,Moderate,Some,154.7
536,Dog,Apartment,0,Low,Experienced,216.44
537,Cat,House,0,Moderate,None,250.51
538,Cat,Apartment,0,Moderate,Some,212.13
539,Cat,Small Space,0,Moderate,Experienced,226.0
540,Dog,House,1,Moderate,None,174.72
541,Cat,Small Space,0,Moderate,Some,237.22
542,Dog,House,1,High,Experienced,311.21
543,Dog,Small Space,0,Low,Experienced,252.86
544,Dog,House,0,High,Experienced,260.72
545,Rabbit,House,0,High,Some,222.05
546,Cat,Small Space,0,Moderate,Some,87.26
547,Cat,House,0,Low,None,121.65
548,Rabbit,Apartment,0,Moderate,None,234.12
549,Cat,House,0,Low,None,199.18
550,Cat,Small Space,1,Low,Some,232.99
551,Dog,House,0,Low,Experienced,325.73
552,Dog,House,0,Low,Some,254.45
553,Cat,House,0,Moderate,Some,294.42
554,Cat,Small Space,0,High,Some,207.1
555,Rabbit,Apartment,0,Low,Some,139.46
556,Rabbit,House,0,High,Experienced,195.66
557,Dog,Apartment,0,High,None,139.64
558,Dog,House,0,High,Some,316.87
559,Cat,House,0,High,Some,259.28
560,Dog,Apartment,0,Moderate,None,239.04
561,Dog,Apartment,1,Low,Some,292.7
562,Rabbit,House,0,Moderate,Experienced,50.0
563,Dog,Apartment,0,Moderate,None,244.11
564,Bird,Apartment,0,High,None,101.7
565,Rabbit,Small Space,1,High,None,199.46
566,Rabbit,Apartment,0,Moderate,Experienced,176.62
567,Dog,House,0,Moderate,Experienced,249.63
568,Dog,Small Space,0,Low,Some,217.11
569,Cat,Apartment,0,Low,Some,300.88
570,Dog,Apartment,0,Moderate,Experienced,154.86
571,Dog,House,0,Moderate,Experienced,253.18
572,Dog,House,0,High,Experienced,212.17
573,Dog,Small Space,0,Moderate,Experienced,77.35
574,Dog,Small Space,0,High,Some,131.1
575,Rabbit,House,1,Moderate,Some,188.76
576,Dog,Apartment,0,High,Experienced,283.42
577,Dog,Apartment,0,Low,Experienced,234.78
578,Cat,Apartment,0,High,None,112.44
579,Bird,Apartment,0,Moderate,None,189.48
580,Dog,House,0,Low,Experienced,351.34
581,Dog,House,1,Low,None,208.34
582,Cat,Apartment,1,High,Experienced,175.45
583,Bird,Small Space,0,Low,Some,236.88
584,Rabbit,Apartment,0,Moderate,None,257.25
585,Cat,House,0,Moderate,None,165.79
586,Dog,House,0,Moderate,None,237.69
587,Cat,House,0,High,None,175.33
588,Dog,House,0,Moderate,Some,253.95
589,Cat,Apartment,0,Moderate,Experienced,212.73
590,Rabbit,House,0,High,Experienced,236.15
591,Bird,House,0,High,Some,143.06
592,Dog,Small Space,0,High,Some,138.4
593,Dog,House,0,Moderate,Some,270.91
594,Cat,House,0,Low,Some,194.05
595,Rabbit,House,0,Moderate,Some,221.38
596,Rabbit,Small Space,0,High,None,177.02
597,Dog,Apartment,0,Low,None,267.4
598,Dog,House,0,Low,None,154.41
599,Cat,House,0,Low,None,189.83
600,Dog,House,1,Moderate,Experienced,258.95
601,Rabbit,Apartment,0,High,None,287.97
602,Cat,House,0,Low,Experienced,160.72
603,Rabbit,Apartment,0,Moderate,Experienced,346.98
604,Cat,House,1,High,Experienced,223.49
605,Rabbit,House,0,Low,Experienced,121.78
